Epoch 100 :(mp, mr, map50, map ,*Loss )     0.6468      0.5852      0.5879      0.3425           0           0           0 
Epoch 101 :(mp, mr, map50, map ,*Loss )     0.6931      0.5653       0.596      0.3481           0           0           0 
Epoch 102 :(mp, mr, map50, map ,*Loss )     0.7152       0.548      0.5994      0.3497           0           0           0 
Epoch 103 :(mp, mr, map50, map ,*Loss )     0.7009      0.5667      0.6184      0.3594           0           0           0 
Epoch 104 :(mp, mr, map50, map ,*Loss )     0.7121      0.5701      0.6244      0.3721           0           0           0 
Epoch 105 :(mp, mr, map50, map ,*Loss )     0.7168      0.5474      0.6079      0.3546           0           0           0 
Epoch 106 :(mp, mr, map50, map ,*Loss )     0.7088      0.5493      0.6076      0.3517           0           0           0 
Epoch 107 :(mp, mr, map50, map ,*Loss )     0.6614      0.5594      0.6071      0.3558           0           0           0 
Epoch 108 :(mp, mr, map50, map ,*Loss )     0.6996      0.5837      0.6228      0.3709           0           0           0 
Epoch 109 :(mp, mr, map50, map ,*Loss )     0.6616      0.6013      0.6192      0.3603           0           0           0 
Epoch 110 :(mp, mr, map50, map ,*Loss )     0.6487      0.5928      0.6123      0.3549           0           0           0 
Epoch 111 :(mp, mr, map50, map ,*Loss )     0.6697      0.5806      0.6223      0.3647           0           0           0 
Epoch 112 :(mp, mr, map50, map ,*Loss )      0.709      0.5625      0.6296      0.3662           0           0           0 
Epoch 113 :(mp, mr, map50, map ,*Loss )     0.7424      0.5335      0.6137      0.3543           0           0           0 
Epoch 114 :(mp, mr, map50, map ,*Loss )      0.673      0.5643      0.6056      0.3592           0           0           0 
Epoch 115 :(mp, mr, map50, map ,*Loss )     0.7187      0.5646      0.6156      0.3614           0           0           0 
Epoch 116 :(mp, mr, map50, map ,*Loss )     0.7074      0.5562      0.6132      0.3652           0           0           0 
Epoch 117 :(mp, mr, map50, map ,*Loss )     0.6997       0.574      0.6117      0.3648           0           0           0 
Epoch 118 :(mp, mr, map50, map ,*Loss )     0.6896      0.5979      0.6193      0.3577           0           0           0 
Epoch 119 :(mp, mr, map50, map ,*Loss )     0.6976       0.558      0.5929      0.3432           0           0           0 
Epoch 120 :(mp, mr, map50, map ,*Loss )     0.7036      0.5505      0.6055       0.354           0           0           0 
Epoch 121 :(mp, mr, map50, map ,*Loss )     0.7112      0.5429      0.6034      0.3621           0           0           0 
Epoch 122 :(mp, mr, map50, map ,*Loss )     0.6967      0.5611      0.5972      0.3544           0           0           0 
Epoch 123 :(mp, mr, map50, map ,*Loss )     0.6436      0.6271      0.6211      0.3688           0           0           0 
Epoch 124 :(mp, mr, map50, map ,*Loss )     0.6879      0.5798      0.6072       0.356           0           0           0 
Epoch 125 :(mp, mr, map50, map ,*Loss )     0.7083      0.5824      0.6045        0.36           0           0           0 
Epoch 126 :(mp, mr, map50, map ,*Loss )     0.6384      0.6169      0.6119      0.3638           0           0           0 
Epoch 127 :(mp, mr, map50, map ,*Loss )     0.6927       0.584      0.6191      0.3708           0           0           0 
Epoch 128 :(mp, mr, map50, map ,*Loss )     0.7016      0.5874      0.6308       0.374           0           0           0 
Epoch 129 :(mp, mr, map50, map ,*Loss )     0.6907      0.5886      0.6216       0.376           0           0           0 
Epoch 130 :(mp, mr, map50, map ,*Loss )     0.6398      0.6148       0.617      0.3682           0           0           0 
Epoch 131 :(mp, mr, map50, map ,*Loss )      0.691      0.5722      0.6199      0.3731           0           0           0 
Epoch 132 :(mp, mr, map50, map ,*Loss )     0.6829      0.5771      0.6055      0.3623           0           0           0 
Epoch 133 :(mp, mr, map50, map ,*Loss )     0.6822      0.5969      0.6087      0.3647           0           0           0 
Epoch 134 :(mp, mr, map50, map ,*Loss )     0.7193      0.5537       0.614      0.3628           0           0           0 
Epoch 135 :(mp, mr, map50, map ,*Loss )      0.657      0.5957       0.621      0.3707           0           0           0 
Epoch 136 :(mp, mr, map50, map ,*Loss )     0.6541      0.5886      0.6125      0.3688           0           0           0 
Epoch 137 :(mp, mr, map50, map ,*Loss )     0.6444      0.6049      0.6213       0.369           0           0           0 
Epoch 138 :(mp, mr, map50, map ,*Loss )     0.7156      0.5665      0.6071      0.3616           0           0           0 
Epoch 139 :(mp, mr, map50, map ,*Loss )     0.6686      0.6025      0.6103      0.3619           0           0           0 
Epoch 140 :(mp, mr, map50, map ,*Loss )     0.6999      0.5864      0.6145      0.3711           0           0           0 
Epoch 141 :(mp, mr, map50, map ,*Loss )     0.7281      0.5446      0.6171      0.3638           0           0           0 
Epoch 142 :(mp, mr, map50, map ,*Loss )     0.6659      0.5937      0.6047       0.365           0           0           0 
Epoch 143 :(mp, mr, map50, map ,*Loss )     0.7096       0.559      0.6183      0.3757           0           0           0 
Epoch 144 :(mp, mr, map50, map ,*Loss )     0.6892      0.5732      0.6095       0.372           0           0           0 
Epoch 145 :(mp, mr, map50, map ,*Loss )      0.711      0.5681       0.612      0.3752           0           0           0 
Epoch 146 :(mp, mr, map50, map ,*Loss )     0.7008      0.5667      0.6121       0.372           0           0           0 
Epoch 147 :(mp, mr, map50, map ,*Loss )     0.7129      0.5668      0.6126      0.3755           0           0           0 
Epoch 148 :(mp, mr, map50, map ,*Loss )     0.6572       0.574       0.607       0.368           0           0           0 
Epoch 149 :(mp, mr, map50, map ,*Loss )     0.6965       0.576      0.6217      0.3807           0           0           0 
Epoch 150 :(mp, mr, map50, map ,*Loss )     0.7145      0.5555      0.6182      0.3756           0           0           0 
Epoch 151 :(mp, mr, map50, map ,*Loss )      0.735      0.5533      0.6102      0.3745           0           0           0 
Epoch 152 :(mp, mr, map50, map ,*Loss )     0.6857      0.5935      0.6264      0.3825           0           0           0 
Epoch 153 :(mp, mr, map50, map ,*Loss )     0.6927      0.5877      0.6154      0.3742           0           0           0 
Epoch 154 :(mp, mr, map50, map ,*Loss )     0.7037      0.5587      0.6132      0.3745           0           0           0 
Epoch 155 :(mp, mr, map50, map ,*Loss )     0.6769      0.6005      0.6158      0.3798           0           0           0 
Epoch 156 :(mp, mr, map50, map ,*Loss )     0.7318      0.5734      0.6147      0.3781           0           0           0 
Epoch 157 :(mp, mr, map50, map ,*Loss )     0.7143      0.5805      0.6239      0.3852           0           0           0 
Epoch 158 :(mp, mr, map50, map ,*Loss )     0.7023      0.6067       0.629      0.3827           0           0           0 
Epoch 159 :(mp, mr, map50, map ,*Loss )     0.6547      0.6164      0.6139      0.3768           0           0           0 
Epoch 160 :(mp, mr, map50, map ,*Loss )     0.6825      0.6012      0.6127      0.3755           0           0           0 
Epoch 161 :(mp, mr, map50, map ,*Loss )     0.6901      0.5967        0.63      0.3841           0           0           0 
Epoch 162 :(mp, mr, map50, map ,*Loss )      0.697      0.5863      0.6292      0.3814           0           0           0 
Epoch 163 :(mp, mr, map50, map ,*Loss )      0.675      0.6145      0.6243      0.3818           0           0           0 
Epoch 164 :(mp, mr, map50, map ,*Loss )     0.6789      0.5821      0.6266      0.3858           0           0           0 
Epoch 165 :(mp, mr, map50, map ,*Loss )     0.6776       0.569      0.6183      0.3783           0           0           0 
Epoch 166 :(mp, mr, map50, map ,*Loss )      0.655       0.595       0.623      0.3857           0           0           0 
Epoch 167 :(mp, mr, map50, map ,*Loss )      0.674       0.597      0.6223      0.3836           0           0           0 
